"('40.70562', '-74.00676')","(1, 1)"
"('40.74706', '-73.97923')","(8, 2)"
"('40.79545', '-73.96562')","(2, 5)"
"('40.72746', '-73.97947')","(10, 3)"
"('40.75957', '-73.96802')","(3, 3)"
"('40.74843', '-73.99619')","(2, 2)"
"('40.75973', '-73.99168')","(4, 5)"
"('40.73109', '-73.98278')","(5, 2)"
"('40.79099', '-73.96517')","(1, 2)"
"('40.76649', '-73.95695')","(9, 2)"
"('40.75714', '-73.99356')","(4, 3)"
"('40.76689', '-73.92139')","(1, 4)"
"('40.71885', '-74.00484')","(1, 2)"
"('40.73026', '-73.95347')","(1, 1)"
"('40.70309', '-73.98664')","(1, 1)"
"('40.77169', '-73.95918')","(7, 1)"
"('40.71653', '-74.00667')","(4, 1)"
"('40.78423', '-73.94706')","(2, 3)"
"('40.75736', '-73.98409')","(3, 1)"
"('40.75587', '-73.97282')","(10, 2)"
"('40.71952', '-73.96043')","(1, 1)"
"('40.76085', '-73.96106')","(6, 10)"
"('40.75362', '-73.96943')","(7, 3)"
"('40.72766', '-74.00317')","(2, 1)"
"('40.73512', '-74.00157')","(1, 1)"
"('40.77818', '-73.94842')","(3, 2)"
"('40.72146', '-73.98852')","(2, 2)"
"('40.76274', '-73.99691')","(1, 2)"
"('40.77627', '-73.95793')","(6, 1)"
"('40.73978', '-73.97952')","(2, 2)"
"('40.74152', '-73.99379')","(9, 1)"
"('40.72379', '-74.00036')","(1, 1)"
"('40.80322', '-73.94459')","(1, 1)"
"('40.77265', '-73.95555')","(2, 2)"
"('40.83917', '-73.94113')","(1, 2)"
"('40.73116', '-73.99192')","(5, 6)"
"('40.76478', '-73.96843')","(2, 4)"
"('40.77397', '-73.94855')","(2, 2)"
"('40.81147', '-73.94048')","(1, 1)"
"('40.78654', '-73.95255')","(1, 1)"
"('40.73189', '-74.00378')","(4, 1)"
"('40.75211', '-73.97555')","(3, 2)"
"('40.73397', '-73.98667')","(3, 2)"
"('40.75355', '-73.98504')","(1, 2)"
"('40.71645', '-73.99675')","(1, 1)"
"('40.74347', '-73.97675')","(2, 1)"
"('40.74511', '-73.94743')","(1, 2)"
"('40.72074', '-73.98615')","(2, 3)"
"('40.71543', '-74.00754')","(1, 1)"
"('40.75529', '-73.99492')","(1, 2)"
"('40.77632', '-73.96001')","(2, 1)"
"('40.71765', '-73.98866')","(1, 3)"
"('40.79108', '-73.95343')","(2, 1)"
"('40.74283', '-74.00769')","(4, 2)"
"('40.77178', '-73.96332')","(2, 2)"
"('40.71447', '-74.01354')","(1, 1)"
"('40.75215', '-73.98749')","(1, 3)"
"('40.72695', '-74.00344')","(2, 1)"
"('40.77202', '-73.95601')","(3, 4)"
"('40.75575', '-73.96478')","(6, 2)"
"('40.73284', '-73.99591')","(3, 3)"
"('40.74835', '-74.00368')","(1, 1)"
"('40.75157', '-73.98227')","(1, 4)"
"('40.76052', '-73.97997')","(6, 4)"
"('40.78648', '-73.97217')","(1, 3)"
"('40.79485', '-73.96236')","(1, 2)"
"('40.72125', '-74.00144')","(2, 1)"
"('40.71709', '-73.99858')","(3, 1)"
"('40.79914', '-73.97252')","(1, 1)"
"('40.71153', '-73.98674')","(1, 2)"
"('40.72908', '-73.98132')","(3, 3)"
"('40.70408', '-74.00898')","(3, 2)"
"('40.74647', '-73.98389')","(7, 1)"
"('40.75409', '-73.97833')","(2, 2)"
"('40.72076', '-73.99062')","(1, 4)"
"('40.75984', '-73.98417')","(1, 1)"
"('40.74775', '-73.98085')","(3, 3)"
"('40.74776', '-73.98295')","(1, 1)"
"('40.72326', '-73.98843')","(6, 1)"
"('40.74135', '-73.98131')","(3, 1)"
"('40.78617', '-73.94569')","(1, 2)"
"('40.75293', '-73.98548')","(5, 3)"
"('40.68031', '-73.99688')","(1, 1)"
"('40.79405', '-73.97036')","(4, 4)"
"('40.72779', '-73.98513')","(5, 1)"
"('40.76296', '-73.97396')","(5, 12)"
"('40.75649', '-73.97236')","(1, 2)"
"('40.76479', '-73.98428')","(6, 5)"
"('40.71801', '-73.99995')","(4, 4)"
"('40.73244', '-73.99127')","(1, 2)"
"('40.75949', '-73.97361')","(1, 1)"
"('40.72364', '-73.98528')","(8, 5)"
"('40.76736', '-73.92242')","(2, 1)"
"('40.73846', '-73.98764')","(5, 1)"
"('40.71769', '-73.94997')","(1, 1)"
"('40.73584', '-74.00596')","(2, 1)"
"('40.78102', '-73.98131')","(8, 2)"
"('40.76749', '-73.95931')","(6, 2)"
"('40.75897', '-73.91899')","(1, 3)"
"('40.73653', '-73.99075')","(2, 2)"
"('40.73132', '-73.98861')","(8, 4)"
"('40.77529', '-73.95362')","(5, 1)"
"('40.73196', '-73.98815')","(3, 5)"
"('40.69765', '-73.95866')","(1, 1)"
"('40.77301', '-73.95218')","(4, 2)"
"('40.76552', '-73.98003')","(5, 2)"
"('40.76136', '-73.95778')","(4, 1)"
"('40.76432', '-73.97719')","(8, 7)"
"('40.73951', '-73.98474')","(2, 9)"
"('40.72302', '-73.99881')","(1, 6)"
"('40.77619', '-73.94987')","(3, 2)"
"('40.79935', '-73.95907')","(1, 2)"
"('40.79465', '-73.97178')","(4, 3)"
"('40.80572', '-73.95441')","(1, 5)"
"('40.74011', '-73.98221')","(6, 2)"
"('40.76142', '-73.98404')","(1, 1)"
"('40.76718', '-73.98997')","(4, 1)"
"('40.71912', '-74.00516')","(7, 1)"
"('40.80043', '-73.96571')","(1, 1)"
"('40.74102', '-73.99416')","(11, 9)"
"('40.75009', '-73.97493')","(1, 3)"
"('40.78069', '-73.94659')","(11, 4)"
"('40.75186', '-73.97703')","(4, 1)"
"('40.77813', '-73.95448')","(8, 1)"
"('40.72423', '-73.99778')","(2, 8)"
"('40.73868', '-73.99587')","(3, 4)"
"('40.72409', '-73.95097')","(1, 4)"
"('40.79945', '-73.95152')","(1, 5)"
"('40.72618', '-73.98942')","(4, 2)"
"('40.79062', '-73.94243')","(1, 4)"
"('40.71975', '-73.99216')","(1, 2)"
